,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub 11,sub12
0,-24671.3091990509,-101074.25930742,68158.3058141783,-220502.999680623,-136071.200181402,-18614.5802677648,50963.1235062878,-68055.2241551846,16389.4178430816,-50240.257777545,-44646.9441899251,-55158.9769993383
1,-79241.8615548484,78510.8551869511,17025.7887522717,9487.99322958464,-173680.539591946,53737.518546774,28158.7914223906,-67047.6750377983,161709.270259277,-25072.9403702858,-151556.567921492,221546.024360747
2,7327.5734325334,10666.0328178556,15567.419281326,207377.67451746,-45730.9129966157,56259.2223054826,-11574.7687119801,235663.495372846,-14722.3192280128,-90940.8383203015,-6953.99714490861,73391.212319143
3,-36128.9493245167,2406.58429508696,-101499.808291203,-33445.4189311615,-77067.9963766311,165799.822469154,29779.0212761378,-17105.8574554146,155464.124335976,-150649.541775273,46096.9480161876,-98231.853278181
4,73196.4045293241,-41476.7358112736,61809.3793714125,-161352.882302529,-164258.153563113,-92173.1396930651,-277579.184520777,-146970.274045528,-45740.4962289718,33431.142576733,-109409.396673963,-27281.4167657754
5,-20392.0307436282,1227.30388365078,28745.2953287976,2569.44792795161,22611.587285669,34893.5195505248,-95154.0996309619,-6920.20714140731,-74170.4929165825,-75709.6221409264,-199710.485495945,161620.93612386
6,-37555.7861215527,7633.77646405579,35582.8248482975,-145367.54814415,93914.3805253643,-108042.915926678,196851.971967847,14237.1947945404,150004.386214694,100380.853310575,-49773.8196086844,75430.599974943
7,-61819.4062012618,-30644.5076202327,-83460.2883227959,-98200.240066443,124749.307766694,-135144.455693231,-104408.548909423,-123178.922140422,7829.11461169099,81721.6403744486,-98959.5734696622,45310.723567814
8,-265542.412571445,-50605.7702266086,-36371.7701687755,-85256.1741368209,-51346.3436767727,53840.832900062,-11114.2090110105,69047.5775351682,8808.62925259317,-117450.404083139,-158716.566359851,-65934.5232948109
9,136072.086919765,-75287.1455330466,57872.2341823467,-41474.3350106109,-50543.7882504368,-43153.7183016901,25011.812942608,6755.04787165517,34585.2676860264,-4153.63106249374,-117150.127629453,-41035.3626049831
10,93615.8429487405,132924.862158154,40749.8412423182,45073.5522247591,9774.66206964967,-68198.5084165767,32437.1513278958,-23877.3324268421,94458.7061457487,-194109.567889491,-27919.5325286156,-135230.366383347
11,132999.773900509,13069.9125342568,-63523.1849409439,127439.425126374,-2049.91804828748,87260.082468365,-68391.1713422312,-7011.19791981256,160208.390281463,55306.2700207876,-29494.1225942453,4841.97433794293
12,-46487.1795497052,-77592.6296820502,-32369.0477104309,184773.740910068,-124709.555421754,-37708.0053182886,102390.224337575,-184680.093135168,28793.6402150009,-216383.245586059,230.595273553864,119920.825631966
13,16689.559912694,-58808.4618149307,104681.559442896,32809.4533546269,-73061.7505724547,-81815.3217972836,-36883.5879294928,104967.02008148,-248395.287888623,-24162.339481689,6935.50144586007,85919.4249886383
14,288259.236690113,75374.1884360183,-19668.3401485366,-68741.8994048926,-22471.5707811337,-92961.1765805551,58094.9660581672,-69760.4615750431,-6049.47687964405,22500.7702214603,-133746.380739263,219294.861574554
15,-229406.896939389,29614.5488326892,39329.5623918238,-98120.5252512287,85661.1475665059,125063.254889954,-10394.7933835932,-61042.5868647644,-155763.534783311,16921.3051832185,98528.0408221073,-46430.6962798985
16,-238820.130731885,97348.6406045081,-6413.95790855493,-47111.3330346596,27407.5789976976,-48191.7865670258,32544.9748164177,-15556.0590375864,25626.0518187595,-101037.300251786,17469.1112456447,63617.4253428262
17,126490.88697044,-136696.820013138,-45963.6205772673,-48805.6776370133,-15614.5261028694,-84.0129464346767,-3834.47239390108,70198.4781128284,-8148.05563852297,-45249.1937608382,-119588.210920945,-16398.8871734672
18,-21801.499350761,-27379.0521097184,38339.2496819875,74361.1649845241,114775.13949065,91655.2544019727,59564.8244200555,-102892.924278783,147041.029182506,-80231.274914159,-216923.944520662,5276.22945751218
19,95030.1698162007,80994.1439451807,58535.4644293076,170609.996102827,171814.43960944,-47891.6386726341,208250.43153673,61407.5777984472,-102715.629723916,28097.0142681766,98753.930364287,-148116.018530333
20,-148650.694919926,11782.8925936863,65126.1962829416,-96908.492810629,11644.007430721,76426.5233739563,76461.1089063492,56304.9977547019,88106.1165063548,-5534.24343946145,100030.151389858,-55185.745641921
21,73845.6832253995,-14505.3039356028,110178.603749621,65169.83943488,-3471.83922232544,48531.3510204202,-12931.7021556814,334830.838269036,23148.5841023131,71030.3536814045,144980.648822164,10111.2857527593
22,-1016.78877926396,107602.514345177,-122314.969393481,46382.9917359572,53098.047441933,-63883.3189925602,-19991.2629850049,21906.8735027032,88268.499883331,186474.707626775,25919.5197932842,-196023.815749475
23,220249.510321343,-202512.148947959,78524.5926391799,40423.1064216366,-448.479613136965,-158185.829639869,4025.98216414816,-40335.8710262489,-6093.31853957249,52928.8062814653,-156878.636324791,-202540.719921988
24,12107.6896577231,14393.7487800669,-15007.8833300983,-110074.526202232,46898.2376197556,31790.7006923109,10935.6587485315,-47445.9378196893,-4277.35466456257,205672.679878007,7811.55544265607,36177.8174250732
25,85796.6592913286,-113132.416688069,-31851.598977784,60946.4207090766,-105404.544717182,32552.5239136837,88575.4732863906,-36310.7887101328,-123340.923705733,-1642.68359296577,-9744.45571943624,195921.193347079
26,38045.713444133,39970.11180643,-102715.128746875,171423.12200499,-83233.6219515854,179736.121996025,67076.8161539295,-133275.99998374,618.155362575457,-193234.575017192,82032.7006527821,27934.2845843032
27,779.942795710214,8785.62073597945,-91809.1317233227,-51445.4460215011,-163332.15243953,-55330.9556667861,-136942.144947034,-115535.179648915,-78678.3797366358,-31585.7550786028,86538.3482538806,14469.5818827637
28,-27740.2632641071,33143.0156330135,25289.3246350885,-24998.6933428032,-69532.6504067257,-74677.9000993777,-101184.211445108,5141.62378884039,49748.5511504556,31690.1740899075,11149.5553173455,-48720.9107513157
29,57709.3415021993,-116773.904638175,-323581.340256342,-150735.858161847,3698.04601503751,-469.961023409398,4674.93338223492,-13614.2421409562,-34666.1245735783,-69871.4379792482,-248266.628288159,84211.7404679416
30,-143120.888746645,90013.7237281087,5188.24277125867,27905.3574844444,-35960.9150207115,-53969.0196189241,131554.715317481,75353.0199108812,38141.5513236051,-2323.20334908668,26375.7602783588,929.762467075017
31,-144297.17833599,-94576.3631304604,-5534.31404771752,-155617.541065861,-55662.3928102107,146904.308416196,38442.9659469675,-130178.237485667,-148882.250620474,89354.8253271729,48638.3623755811,-104095.391604407
32,-118852.187478073,129705.513442398,55012.2697913753,-64882.5266209996,158008.840643664,18581.3116288717,84685.9552067926,-79606.3829652063,30545.2675865844,21434.3947265921,96636.9216476038,11020.9438700321
33,88572.3890670353,-7530.08562781562,144592.938798865,-116387.891853673,29359.5924496071,-70114.6803667192,23857.928241123,8885.96089355348,-150751.336773504,3198.1597296897,111821.293502738,57953.815254019
34,-57675.4717941205,-8964.41585512385,-86612.449872038,-34355.2002912057,-97515.907777816,-78547.6504313415,135342.127293001,-153499.72612224,64874.754011616,109037.821768825,-12989.4322431253,-3021.91931155531
