,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub 11,sub12
0,76034.844636583,-7802.97955953704,54479.9633624339,20309.8495778738,-47748.574618474,5165.4033776863,41301.4742744997,-34292.6367089454,11264.3159862839,-22645.7794656628,-41077.4448592963,28933.3638034734
1,-21963.8965141406,52322.2090049356,-15860.5630551419,64642.4336466168,-19526.561567886,-26579.1350202741,54598.3337469175,37022.51139728,-14618.0238403996,-278.583732713985,41630.1335365429,23911.4590559319
2,63897.0014087591,35728.537591991,18140.9610346174,-65307.212805018,35715.7285596677,-80236.9310417742,-31498.4284175322,-44447.7509762308,-50266.8745789048,31373.045498765,-64877.6154559846,-10342.675776812
3,63091.5211978201,-18568.0073295841,-31725.7784152503,1733.73408073485,-10097.0480409904,-47924.43107403,-50478.1334182323,-62133.137158233,76095.8552987726,-52792.00810327,-28025.0051506204,-9973.45669236064
4,50812.1906997281,-29857.4273950226,47386.4315960534,-11842.7937629489,2293.40474689812,51603.0983497263,-79539.7989142992,113495.65212562,-21349.1980333386,-48649.8172029156,40354.452440423,23295.490239168
5,31594.4028734769,-658.658252619348,67028.7309744371,-10572.8013573016,-77334.4458693861,7317.94484377489,117306.788299959,-68156.1212900472,-81969.4246482296,-50605.8916879459,1719.9850251064,-54862.4412714352
6,55866.981806944,3610.44060127299,-35992.3048842885,-7944.35611495441,-53952.6053514839,4305.87793810221,-15703.8929841445,-62135.5657931548,-17877.9327449011,-19245.5919495902,-77397.3126668907,46844.5780811824
7,53577.4514091111,10930.9190674568,-15757.7242632627,-66647.882488173,32070.024581149,5796.34812759337,-51224.5339284654,-34626.0108648632,34492.0648966708,-13995.9035094622,-56781.8373585719,-72199.0902969042
8,6321.02723976072,-24534.1134542319,-12424.6355502883,42341.818449989,10805.5032345586,-29240.794341106,-13210.5923134819,84509.8723693554,-119501.269328153,19426.7435574914,-18069.5823117339,-15552.3305968694
9,55440.3354511372,-29936.9668352496,-35258.5338804941,-24572.8312890843,-39518.991205328,-37173.4439875627,13247.8664473084,16430.9289477185,-47748.4026753834,-3187.5277939886,34924.7986451811,-76188.9858196316
10,-7679.82887675972,-24375.9379515033,30212.4494544951,-30919.5803330333,-95104.4054599237,28371.5521882017,31555.1036869971,-38125.304403075,-3680.72063277787,-14769.0983076452,-30307.1896225424,-45245.3475759147
11,-14527.4464222455,18316.1220326192,52341.0242470904,53352.5678519791,64019.8322910188,-50298.7897863078,-19598.7777383977,-94524.1534161614,-63898.6388476709,45560.7558638069,9428.57481138816,-28604.0847968703
12,-67655.4015971489,-5710.19032434776,31928.3656957768,69758.9159957574,-92333.6156395413,7646.65312140226,-36613.0641791854,96892.2684951134,-132079.345190262,39882.2698069799,28631.0991148052,-6918.08641618798
13,-17183.3513983506,105806.003095115,37174.7427227572,-40258.2370370537,82805.1733120777,-14784.0277144515,-59497.2857778575,-91221.5898519984,16852.0238083857,34289.0167131118,-28151.3048269016,-25946.6465347273
14,46862.3512823164,54335.2383696957,-167917.436218908,34118.7386521753,27445.7758995875,51535.1946077795,61495.0472688045,-62031.1312891025,-18085.5827389809,-9479.40374834519,-13341.1360659429,18395.0304827924
15,-8492.65185641428,-142045.496670025,19575.2672618964,127377.235876975,-22605.3213077187,-11486.43348231,43278.7906930314,264.767274245484,16229.342310255,-55681.2091486228,-116.482985359044,-55397.7900256315
16,-46060.95119755,-34041.3584248234,-10204.4754948269,22897.7260332319,19830.8224796518,21917.5603920949,7060.66243947043,33554.2184605088,-45995.5715593924,38900.3953715247,48758.4286138756,558.363058960878
17,-4329.60808375525,25270.6819724571,67480.5279489623,-14244.2304814464,11900.2618565697,51357.8604869514,9106.38411566609,134117.758584558,48157.7045414454,-101687.908633189,-1527.92260791742,21412.1231547183
18,39715.1420140916,-54444.8858479132,3474.53127666505,-94178.8784462039,31730.332029772,92775.646399452,22996.200455866,727.523628634134,17363.8143093634,4703.17523785238,12968.3442735282,18453.5063266854
19,19478.78242523,40874.6804882099,-36759.1072412044,29081.6870628015,-4896.20448020348,80083.6108958058,29495.6050677254,-45104.7313420936,58483.517878729,20162.4325706236,-45318.5221237789,-150532.37117253
20,-23546.8078346799,-56274.1162866168,28182.4787966479,18027.4833662074,-35387.9913563579,57847.8638071273,-58537.5459439682,40247.2298362994,1546.11614411176,70426.0961507267,-51104.1381788977,35974.8753377071
21,-45853.0911915887,-70737.7397457313,-52405.5430379193,-9950.98907270381,63464.7562306887,-81377.6654252312,-65807.5856771618,108887.799436483,62345.402477815,-21709.4492376997,101257.61659629,-66614.574881469
22,52934.3448439572,23758.5324169424,-25286.0019983672,-60911.2095442831,-54195.5396585772,-79817.0823602217,34166.6637998525,-1288.81550476708,12742.6468364464,26664.4432648162,-13047.5513208821,14228.7957858749
23,15849.7800818857,37186.6179825882,-1117.86780266039,78841.5694095614,42659.3320846032,27493.7471740826,-74003.3667446866,14799.8111197525,39607.9073971036,-64316.5235696474,63471.3266122686,37311.9119672027
24,3456.59371563162,76372.2431779202,2612.04263284746,2173.43065771594,-48917.6494760813,-100527.953867465,58457.6650326928,-53472.3367969781,20625.1569137342,37606.3184381844,-23974.8334623439,8878.77269164881
25,24480.1912738321,-10070.1974328756,98.8548946573957,26435.1305678671,-32381.403791792,-41655.4817876867,-30570.02128793,-63818.7191078211,-80561.6852883357,-99631.0040304449,-27616.7358232593,-9587.98244372771
26,-57804.4732903515,10313.6712570992,-7633.68374601573,33411.5843211504,25331.4646162979,-115043.614606344,-34407.0972695864,-25351.6840107679,48922.5218287588,55802.052905212,-89480.8479257031,-12067.3654027477
27,-78654.8253902318,40803.5263887827,49267.4065546545,69287.2121479467,-1993.2383720381,-93925.2111870809,83863.2988781959,-34883.8310302098,71140.0670906406,17628.2134549924,-45963.1429692214,-18684.0430427581
28,71017.9309256207,50059.0215322521,-16649.4714965625,-90557.9020966398,18450.6624511307,-2855.59056750257,14789.8097224032,-67881.3314454865,-7956.76281794402,77975.5225195714,145004.845118803,-22373.0651643225
29,-70527.0936674722,30786.0298950288,5015.44878286552,-63699.6737097213,72391.6899333159,-37529.0835140365,-72927.7970947381,-23232.3470835551,-15434.8962645673,55950.9115514626,48329.7748770032,-23942.6157444832
30,50469.0482388238,-66043.3446598729,-66904.4150505471,51025.4462757302,71814.3912808314,-6284.80342501381,-6235.18512318905,45821.2699370068,18102.7584670998,-51463.9156222381,20670.3293743448,43611.1642286494
